Amount (copy),Number of Records,Aiddata Id,Amount,Donor,Recipient,Year
$0.0B,1,83166378,$0.0B,Japan,Thailand,01.01.1998
$0.0B,1,53696067,$0.0B,Japan,Thailand,01.01.1998
$0.0B,1,69954421,$0.0B,Japan,Thailand,01.01.1998
$0.0B,1,53043258,$0.0B,Japan,Thailand,01.01.1998
$0.0B,1,71545881,$0.0B,Japan,Thailand,01.01.1998
$0.0B,1,71816251,$0.0B,Japan,Thailand,01.01.1998
$0.0B,1,82754382,$0.0B,Japan,Thailand,01.01.1998
$0.0B,1,61912407,$0.0B,Japan,Thailand,01.01.1998
$0.0B,1,69639564,$0.0B,Japan,Thailand,01.01.1998
$0.1B,1,60121441,$0.1B,Japan,Thailand,01.01.1998
$0.1B,1,60186563,$0.1B,Japan,Thailand,01.01.1998
$0.2B,1,62888149,$0.2B,Japan,Thailand,01.01.1998
$0.2B,1,73829376,$0.2B,Japan,Thailand,01.01.1998
$0.3B,1,78706656,$0.3B,Japan,Thailand,01.01.1998
$0.8B,1,59727386,$0.8B,Japan,Thailand,01.01.1998
$0.0B,1,2415206,$0.0B,Kuwait,India,01.01.1998
$0.0B,1,3116245,$0.0B,Liechtenstein,Czech Republic,01.01.1998
$0.0B,1,3116255,$0.0B,Liechtenstein,Hungary,01.01.1998
$0.0B,1,3116265,$0.0B,Liechtenstein,Romania,01.01.1998
$0.0B,1,3116261,$0.0B,Liechtenstein,Romania,01.01.1998
$0.0B,1,3116271,$0.0B,Liechtenstein,Romania,01.01.1998
$0.0B,1,79948653,$0.0B,Netherlands,Brazil,01.01.1998
$0.0B,1,59243529,$0.0B,Netherlands,Brazil,01.01.1998
$0.0B,1,69257115,$0.0B,Netherlands,Brazil,01.01.1998
$0.0B,1,71040955,$0.0B,Netherlands,Brazil,01.01.1998
$0.0B,1,82415389,$0.0B,Netherlands,Brazil,01.01.1998
$0.0B,1,66264238,$0.0B,Netherlands,Chile,01.01.1998
$0.0B,1,71320539,$0.0B,Netherlands,Chile,01.01.1998
$0.0B,1,80216308,$0.0B,Netherlands,Chile,01.01.1998
$0.0B,1,78590010,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,52520569,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,67229208,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,59439009,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,64198182,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,63081680,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,75961827,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,57929742,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,60383751,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,62050694,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,67414154,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,54012578,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,65816409,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,79637161,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,57722512,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,76983711,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,63481414,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,58674098,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,52655050,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,59549967,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,54589109,$0.0B,Netherlands,Colombia,01.01.1998
$0.0B,1,69190229,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,65963156,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,78477410,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,78950642,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,59492421,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,62286986,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,52541202,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,62664467,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,71310814,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,51724661,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,62424508,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,52595913,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,53419434,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,54595655,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,50412945,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,80631997,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,75952895,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,61897708,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,73740454,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,68958200,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,69612926,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,58570788,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,51175715,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,75304428,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,72938520,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,76343054,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,53480707,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,62370875,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,67173210,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,69432464,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,69754300,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,80465900,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,59745289,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,75853947,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,58138833,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,74168964,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,57527912,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,75410777,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,75322162,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,79007965,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,60078600,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,75345930,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,50263654,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,57461209,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,71285377,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,69606550,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,71144497,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,73418792,$0.0B,Netherlands,India,01.01.1998
$0.0B,1,59011537,$0.0B,Netherlands,Korea,01.01.1998
$0.0B,1,78773575,$0.0B,Netherlands,Korea,01.01.1998
$0.0B,1,67382673,$0.0B,Netherlands,Slovenia,01.01.1998
$0.0B,1,68339038,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,67978551,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,78189028,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,51953481,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,81560164,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,54566840,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,78036373,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,66515424,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,79620868,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,60139958,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,61101302,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,50162287,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,54212972,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,81603853,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,53515524,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,68037688,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,77485459,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,73862499,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,79643302,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,51301065,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,58644572,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,66324996,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,54446105,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,50272356,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,52666263,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,55794103,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,77538586,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,79828070,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,61789976,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,67738759,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,50917685,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,57192991,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,65342494,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,59179212,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,56171958,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,78561502,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,80395077,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,62585841,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,78677005,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,79422972,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,76809675,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,60342479,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,75128900,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,53132703,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,75059964,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,59530877,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,82450048,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,77192568,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,75340954,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,75414545,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,63504045,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,51216380,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,73514795,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,61940340,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,74456652,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,73750101,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,75553212,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,80703036,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,77625078,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,80654717,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,82342872,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,63137356,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,75513229,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,59593880,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,71896682,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,73792049,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,52509053,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,62557082,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,54761407,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,58403540,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,72735892,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,53189219,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,74178499,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,63674795,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,57051630,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,55409989,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,78306173,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,55827883,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,58600523,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,51463933,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,64585729,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,62177083,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,65185175,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,77423908,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,62273761,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,80039665,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,82223924,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,71528623,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,50830212,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,52855595,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,76825455,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,71247402,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,74637921,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,71986535,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,74186324,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,80716291,$0.0B,Netherlands,South Africa,01.01.1998
$0.0B,1,73928901,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,80328626,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,65885792,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,73461580,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,77509296,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,50593408,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,57886257,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,61735996,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,74098835,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,54321397,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,74081186,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,71972687,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,53293779,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,59173224,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,62550861,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,65169039,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,74485337,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,51523022,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,63589624,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,59677017,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,55983242,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,54705472,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,82444907,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,80605561,$0.0B,Netherlands,Thailand,01.01.1998
$0.0B,1,63837017,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,76698832,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,61217860,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,74034367,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,52070131,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,61654796,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,77779858,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,78451608,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,82319412,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,64310561,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,70148835,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,59432284,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,67362645,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,58005282,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,63128801,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,59889547,$0.0B,Norway,Brazil,01.01.1998
$0.0B,1,67966766,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,58086854,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,50522676,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,63347861,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,80868485,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,56555269,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,60414672,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,73370671,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,66563112,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,64208334,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,63106074,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,68041781,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,50876664,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,81458557,$0.0B,Norway,Chile,01.01.1998
$0.0B,1,71716760,$0.0B,Norway,Colombia,01.01.1998
$0.0B,1,68487619,$0.0B,Norway,Colombia,01.01.1998
$0.0B,1,56131278,$0.0B,Norway,Colombia,01.01.1998
$0.0B,1,80936373,$0.0B,Norway,Colombia,01.01.1998
$0.0B,1,82713834,$0.0B,Norway,Colombia,01.01.1998
$0.0B,1,58406841,$0.0B,Norway,Colombia,01.01.1998
$0.0B,1,66722338,$0.0B,Norway,India,01.01.1998
$0.0B,1,73373543,$0.0B,Norway,India,01.01.1998
$0.0B,1,68110133,$0.0B,Norway,India,01.01.1998
$0.0B,1,79671814,$0.0B,Norway,India,01.01.1998
$0.0B,1,77795690,$0.0B,Norway,India,01.01.1998
$0.0B,1,81615242,$0.0B,Norway,India,01.01.1998
$0.0B,1,80285169,$0.0B,Norway,India,01.01.1998
$0.0B,1,64464861,$0.0B,Norway,India,01.01.1998
$0.0B,1,59897243,$0.0B,Norway,India,01.01.1998
$0.0B,1,57051358,$0.0B,Norway,India,01.01.1998
$0.0B,1,76912686,$0.0B,Norway,India,01.01.1998
$0.0B,1,70903900,$0.0B,Norway,India,01.01.1998
$0.0B,1,80133717,$0.0B,Norway,India,01.01.1998
$0.0B,1,60829142,$0.0B,Norway,India,01.01.1998
$0.0B,1,51548478,$0.0B,Norway,India,01.01.1998
$0.0B,1,58066724,$0.0B,Norway,India,01.01.1998
$0.0B,1,80222645,$0.0B,Norway,India,01.01.1998
$0.0B,1,80376282,$0.0B,Norway,India,01.01.1998
$0.0B,1,81789814,$0.0B,Norway,India,01.01.1998
$0.0B,1,51599649,$0.0B,Norway,India,01.01.1998
$0.0B,1,59317209,$0.0B,Norway,India,01.01.1998
$0.0B,1,64607930,$0.0B,Norway,India,01.01.1998
$0.0B,1,81900638,$0.0B,Norway,India,01.01.1998
$0.0B,1,82886733,$0.0B,Norway,India,01.01.1998
$0.0B,1,74267508,$0.0B,Norway,India,01.01.1998
$0.0B,1,71673350,$0.0B,Norway,India,01.01.1998
$0.0B,1,83167157,$0.0B,Norway,India,01.01.1998
$0.0B,1,63859215,$0.0B,Norway,India,01.01.1998
$0.0B,1,67774967,$0.0B,Norway,India,01.01.1998
$0.0B,1,73163137,$0.0B,Norway,India,01.01.1998
$0.0B,1,54797168,$0.0B,Norway,India,01.01.1998
$0.0B,1,74003648,$0.0B,Norway,India,01.01.1998
$0.0B,1,68153813,$0.0B,Norway,India,01.01.1998
$0.0B,1,80582418,$0.0B,Norway,India,01.01.1998
$0.0B,1,65434313,$0.0B,Norway,India,01.01.1998
$0.0B,1,77344902,$0.0B,Norway,India,01.01.1998
$0.0B,1,50211128,$0.0B,Norway,South Africa,01.01.1998
$0.0B,1,69293531,$0.0B,Norway,South Africa,01.01.1998
$0.0B,1,78312628,$0.0B,Norway,South Africa,01.01.1998
$0.0B,1,55156587,$0.0B,Norway,South Africa,01.01.1998
$0.0B,1,77719820,$0.0B,Norway,South Africa,01.01.1998
$0.0B,1,63408175,$0.0B,Norway,South Africa,01.01.1998
$0.0B,1,75498992,$0.0B,Norway,South Africa,01.01.1998
$0.0B,1,59632811,$0.0B,Norway,South Africa,01.01.1998
$0.0B,1,58262182,$0.0B,Norway,South Africa,01.01.1998
$0.0B,1,70353929,$0.0B,Norway,Thailand,01.01.1998
$0.0B,1,80118470,$0.0B,Norway,Thailand,01.01.1998
$0.0B,1,64093751,$0.0B,Norway,Thailand,01.01.1998
$0.0B,1,74794969,$0.0B,Norway,Thailand,01.01.1998
$0.0B,1,76636843,$0.0B,Norway,Thailand,01.01.1998
$0.0B,1,51516142,$0.0B,Norway,Thailand,01.01.1998
$0.0B,1,77551230,$0.0B,Norway,Thailand,01.01.1998
$0.0B,1,79040274,$0.0B,Portugal,Brazil,01.01.1998
$0.0B,1,59813909,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,56907428,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,51940308,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,61295381,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,67473956,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,66025129,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,83006618,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,75630374,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,53015577,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,58481682,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,73715390,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,58251026,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,76786226,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,83080544,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,63374729,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,80113104,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,60288448,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,66200670,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,76820873,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,56057978,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,67409094,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,75047800,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,67161301,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,75722911,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,68539775,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,80430698,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,52473135,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,61539821,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,74690228,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,55468779,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,66874075,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,74521583,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,55702367,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,56369930,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,71515206,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,60630168,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,56806992,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,65480425,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,73699443,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,67139561,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,79522919,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,71010160,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,68747551,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,58995005,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,61455444,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,62665165,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,76115990,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,73466281,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,68365281,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,53869949,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,70010299,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,80280777,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,76067878,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,74906991,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,79070011,$0.0B,Spain,Brazil,01.01.1998
$0.0B,1,59134630,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,54700529,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,65215174,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,83058244,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,53414254,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,59087573,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,59809442,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,75619449,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,70839983,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,50215601,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,76961470,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,66555718,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,62489830,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,81495305,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,66036449,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,66367955,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,66196555,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,50893359,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,50808329,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,52956161,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,56301644,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,70064655,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,71460328,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,78243533,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,72585578,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,56335245,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,59088001,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,74944462,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,52332278,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,72380374,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,53815491,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,57738229,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,60948149,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,59943101,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,54695467,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,69909381,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,74345513,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,80518107,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,52913452,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,69874301,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,67893772,$0.0B,Spain,Chile,01.01.1998
$0.0B,1,61085856,$0.0B,Spain,Chile,01.01.1998
