Amount (copy),Number of Records,Aiddata Id,Amount,Donor,Recipient,Year
$0.0B,1,86542270,$0.0B,Sweden,South Africa,01.01.1993
$0.0B,1,86542545,$0.0B,Austria,Slovenia,01.01.1994
$0.0B,1,86542623,$0.0B,France,Korea,01.01.1994
$0.0B,1,86542662,$0.0B,France,India,01.01.1994
$0.0B,1,86542701,$0.0B,France,Colombia,01.01.1994
$0.0B,1,86543013,$0.0B,France,Qatar,01.01.1994
$0.0B,1,86543170,$0.0B,Sweden,South Africa,01.01.1994
$0.0B,1,86543795,$0.0B,United States,Cyprus,01.01.1981
$0.0B,1,86544848,$0.0B,Japan,Thailand,01.01.1981
$0.0B,1,86545199,$0.0B,Japan,Brazil,01.01.1981
$0.0B,1,86545511,$0.0B,Canada,Colombia,01.01.1985
$0.0B,1,86545589,$0.0B,United Kingdom,India,01.01.1976
$0.0B,1,86546291,$0.0B,Denmark,India,01.01.1982
$0.0B,1,86546486,$0.0B,France,Thailand,01.01.1982
$0.0B,1,86546525,$0.0B,France,Brazil,01.01.1982
$0.0B,1,86547383,$0.0B,Japan,Thailand,01.01.1977
$0.0B,1,86547422,$0.0B,Canada,India,01.01.1986
$0.0B,1,86547578,$0.0B,United States,Korea,01.01.1978
$0.0B,1,86548631,$0.0B,Australia,India,01.01.1978
$0.0B,1,86549528,$0.0B,Netherlands,Chile,01.01.1979
$0.0B,1,86549645,$0.0B,Japan,Thailand,01.01.1973
$0.0B,1,86549879,$0.0B,Netherlands,India,01.01.1979
$0.3B,1,86551088,$0.3B,United States,India,01.01.1979
$0.0B,1,86553779,$0.0B,Sweden,India,01.01.1981
$0.0B,1,86554832,$0.0B,Japan,India,01.01.1981
$0.0B,1,86555456,$0.0B,Germany,Thailand,01.01.1982
$0.0B,1,86555690,$0.0B,Netherlands,Chile,01.01.1982
$0.0B,1,86556041,$0.0B,Sweden,India,01.01.1982
$0.0B,1,86556197,$0.0B,Switzerland,India,01.01.1982
$0.0B,1,86556509,$0.0B,Canada,Colombia,01.01.1982
$0.0B,1,86556938,$0.0B,United States,India,01.01.1982
$0.0B,1,86557640,$0.0B,Belgium,India,01.01.1983
$0.0B,1,86558732,$0.0B,Japan,Thailand,01.01.1977
$0.0B,1,86560643,$0.0B,Switzerland,India,01.01.1977
$0.0B,1,86561618,$0.0B,Canada,Brazil,01.01.1983
$0.0B,1,86561696,$0.0B,Canada,Thailand,01.01.1983
$0.0B,1,86562437,$0.0B,Japan,Thailand,01.01.1983
$0.0B,1,86562476,$0.0B,Japan,Brazil,01.01.1983
$0.0B,1,86563451,$0.0B,Switzerland,India,01.01.1975
$0.0B,1,86563607,$0.0B,Belgium,India,01.01.1975
$0.0B,1,86563958,$0.0B,Switzerland,Chile,01.01.1974
$0.0B,1,86564504,$0.0B,France,India,01.01.1984
$0.0B,1,86564933,$0.0B,Netherlands,India,01.01.1984
$0.1B,1,86565362,$0.1B,United Kingdom,India,01.01.1984
$0.0B,1,86565752,$0.0B,Canada,Thailand,01.01.1984
$0.0B,1,86565947,$0.0B,Canada,Thailand,01.01.1984
$0.0B,1,86568131,$0.0B,Canada,Colombia,01.01.1985
$0.0B,1,86568989,$0.0B,Japan,Thailand,01.01.1985
$0.0B,1,86570237,$0.0B,Netherlands,India,01.01.1986
$0.0B,1,86570393,$0.0B,Norway,Colombia,01.01.1986
$0.0B,1,86570471,$0.0B,Norway,India,01.01.1986
$0.0B,1,86571407,$0.0B,Canada,India,01.01.1986
$0.0B,1,86571485,$0.0B,Canada,Thailand,01.01.1986
$0.0B,1,86572226,$0.0B,Japan,Chile,01.01.1986
$0.0B,1,86573474,$0.0B,Germany,Korea,01.01.1987
$0.0B,1,86573630,$0.0B,Netherlands,India,01.01.1987
$0.0B,1,86574410,$0.0B,Netherlands,Thailand,01.01.1987
$0.0B,1,86574722,$0.0B,Canada,Colombia,01.01.1987
$0.0B,1,86575035,$0.0B,United Kingdom,India,01.01.1987
$0.1B,1,86576439,$0.1B,Japan,Korea,01.01.1987
$0.0B,1,86577648,$0.0B,Italy,Brazil,01.01.1988
$0.0B,1,86578546,$0.0B,Sweden,Chile,01.01.1988
$0.0B,1,86580223,$0.0B,Japan,Colombia,01.01.1988
$0.1B,1,86580340,$0.1B,Japan,Korea,01.01.1988
$0.0B,1,86580418,$0.0B,Japan,Thailand,01.01.1988
$0.0B,1,86581940,$0.0B,Netherlands,Chile,01.01.1989
$0.0B,1,86582213,$0.0B,Netherlands,Thailand,01.01.1989
$0.0B,1,86582644,$0.0B,Sweden,India,01.01.1989
$0.0B,1,86582958,$0.0B,Sweden,India,01.01.1989
$0.0B,1,86584910,$0.0B,Japan,Brazil,01.01.1989
$0.0B,1,86586080,$0.0B,Netherlands,India,01.01.1990
$0.0B,1,86586197,$0.0B,Netherlands,India,01.01.1990
$0.0B,1,86586470,$0.0B,Sweden,South Africa,01.01.1990
$0.0B,1,86587292,$0.0B,United States,Thailand,01.01.1990
$0.0B,1,86589593,$0.0B,Italy,Brazil,01.01.1991
$0.0B,1,86590100,$0.0B,Netherlands,Chile,01.01.1991
$0.0B,1,86590766,$0.0B,United Kingdom,India,01.01.1991
$0.0B,1,86591547,$0.0B,Japan,Colombia,01.01.1991
$0.3B,1,86591664,$0.3B,Japan,India,01.01.1991
$0.0B,1,86591703,$0.0B,Japan,Thailand,01.01.1991
$0.0B,1,86593071,$0.0B,Italy,Chile,01.01.1992
