"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX4","Goods-related services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","2.127642"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","125.416448"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.681123"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","7.576333"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","30.89204"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1.607234"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.789847"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","31.541244"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","16.089069"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","24.533576"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","11.705983"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","125.416448"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","86.266953"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","86.266953"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX4","Goods-related services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.681123"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","32.824349"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","9.606238"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","7.110806"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","3.992255"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","4.510892"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1.094145"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","31.730204"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","15.01316"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","16.107305"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","526.880315"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","6.124126"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","7.798704"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","57.895144"
